
Sun Jul 12 21:51:00 2020, board: 1, dev: 2, status: On
Sun Jul 12 21:51:03 2020, board: 1, dev: 1, status: On
Sun Jul 12 21:52:29 2020, board: 1, dev: 1, status: Off
Sun Jul 12 21:52:31 2020, board: 1, dev: 2, status: Off
Sun Jul 12 21:52:31 2020, board: 1, dev: 3, status: Off
Sun Jul 12 21:52:32 2020, board: 1, dev: 4, status: Off
Mon Jul 13 17:35:28 2020, board: 1, dev: 3, status: On
Mon Jul 13 17:35:30 2020, board: 1, dev: 3, status: Off
Mon Jul 13 17:35:31 2020, board: 1, dev: 4, status: On
Mon Jul 13 17:35:32 2020, board: 1, dev: 4, status: Off
Mon Jul 13 17:35:34 2020, board: 1, dev: 1, status: On
Mon Jul 13 17:35:35 2020, board: 1, dev: 1, status: Off
Mon Jul 13 17:38:38 2020, board: 1, dev: 1, status: On
Mon Jul 13 17:38:44 2020, board: 1, dev: 1, status: Off
Mon Jul 13 17:38:45 2020, board: 1, dev: 1, status: On
Mon Jul 13 17:38:52 2020, board: 1, dev: 1, status: Off
Mon Jul 13 17:38:56 2020, board: 1, dev: 1, status: On
Mon Jul 13 17:39:05 2020, board: 1, dev: 1, status: Off
Mon Jul 13 17:39:07 2020, board: 1, dev: 2, status: On
Mon Jul 13 17:39:09 2020, board: 1, dev: 2, status: Off
Mon Jul 13 17:39:10 2020, board: 1, dev: 2, status: On
Mon Jul 13 17:39:10 2020, board: 1, dev: 2, status: Off
Mon Jul 13 17:39:10 2020, board: 1, dev: 2, status: On
Mon Jul 13 17:39:13 2020, board: 1, dev: 2, status: Off
Mon Jul 13 17:39:13 2020, board: 1, dev: 2, status: On
Mon Jul 13 17:39:14 2020, board: 1, dev: 2, status: Off
Mon Jul 13 17:39:14 2020, board: 1, dev: 2, status: On
Mon Jul 13 17:39:16 2020, board: 1, dev: 2, status: Off
Mon Jul 13 17:39:17 2020, board: 1, dev: 2, status: On
Mon Jul 13 17:39:17 2020, board: 1, dev: 2, status: Off
Mon Jul 13 17:39:17 2020, board: 1, dev: 2, status: On
Mon Jul 13 17:39:19 2020, board: 1, dev: 2, status: Off
Mon Jul 13 17:39:19 2020, board: 1, dev: 2, status: On
Mon Jul 13 17:39:20 2020, board: 1, dev: 2, status: Off
Mon Jul 13 17:39:20 2020, board: 1, dev: 2, status: On
Mon Jul 13 17:39:21 2020, board: 1, dev: 2, status: Off
Mon Jul 13 17:39:22 2020, board: 1, dev: 2, status: On
Mon Jul 13 17:39:24 2020, board: 1, dev: 2, status: Off
